myaamia,ipa
ciilahki-,/ʃiːlɑhki/
meehcih-,/ˈmiːkiːh/
mehkaw-,/ˈmɛhkɑw/
aayaakampikan-,/ah/
mihšahkwat-,/miʃahkwat/
memekwiihsah-,/ˈmɛmɛkwiːhʃɑh/
metem-,/ˈmɛtɛm/
eemhkookanekaa-,/ee/
miihkintamaw-,/ˈmiːkiːntɑmɑw/
ciilitee-,/ʃiːliˈtiː/
miihkweelim-,/ˈmiːhkwiˈlim/
naataw-,/naːtaw/
ahkapakintee-,/ahkəpɑnˈtiː/
natawaapam-,/naˈtɑwaːpam/
nawinaal-,/naˈwiːnɑl/
nehs-,/nehʃ/
nepil-,/niˈpil/
alaaminki,/ah/
niihpiil-,/niːpiːl/
niim-,/niːm/
ihkipakiikin-,/ihkiˈpakiːkiːn/
paahpih-,/ˈpæːpih/
paahsw-,/ˈpæh/
pahkišw-,/ˈpahkiʃʷ/
